Date,Value,,,,,,,
1416722400,0.089927623,,,,,,,
1416726000,84.79540953,,,,,,,
1416729600,188.641831,,,,,,,
1416733200,213.8415212,,,,,,,
1416736800,185.2003714,,,,,,,
1416740400,139.2040692,,,,,,,
1416744000,85.21466611,,,,,,,
1416747600,-4.024670997,,,,,,,
1416751200,-70.86468555,,,,,,,
1416754800,-102.6946302,,,,,,,
1416758400,-85.94106965,,,,,,,
1416762000,-46.93185218,,,,,,,
1416765600,29.9892522,,,,,,,
1416769200,77.35609235,,,,,,,
1416772800,125.8922857,,,,,,,
1416776400,147.7701045,,,,,,,
1416780000,121.6087189,,,,,,,
1416783600,48.57190903,,,,,,,
1416787200,-21.30746261,,,,,,,
1416790800,-99.0175143,,,,,,,
1416794400,-153.0172488,,,,,,,
1416798000,-157.5168481,,,,,,,
1416801600,-131.3666364,,,,,,,
1416805200,-62.35643489,,,,,,,
1416808800,32.78215681,,,,,,,
1416812400,144.4552007,,,,,,,
1416816000,210.2624568,,,,,,,
1416819600,250.0551071,,,,,,,
1416823200,240.8694469,,,,,,,
1416826800,196.6530961,,,,,,,
1416830400,106.7307455,,,,,,,
1416834000,23.3612039,,,,,,,
1416837600,-44.30407968,,,,,,,
1416841200,-62.85225209,,,,,,,
1416844800,-48.37861679,,,,,,,
1416848400,-2.618773993,,,,,,,
1416852000,43.55067351,,,,,,,
1416855600,122.4838029,,,,,,,
1416859200,174.9481039,,,,,,,
1416862800,155.0173551,,,,,,,
1416866400,137.2476108,,,,,,,
1416870000,89.30135492,,,,,,,
1416873600,-17.539643,,,,,,,
1416877200,-88.57274771,,,,,,,
1416880800,-140.9718123,,,,,,,
1416884400,-160.9057114,,,,,,,
1416888000,-94.96288302,,,,,,,
1416891600,-36.69573532,,,,,,,
1416895200,50.70024546,,,,,,,
1416898800,152.3923689,,,,,,,
1416902400,211.5163327,,,,,,,
1416906000,248.8246813,,,,,,,
1416909600,248.316285,,,,,,,
1416913200,184.0919753,,,,,,,
1416916800,105.7038885,,,,,,,
1416920400,38.0738233,,,,,,,
1416924000,-24.29272566,,,,,,,
1416927600,-75.95186707,,,,,,,
1416931200,-56.85813035,,,,,,,
1416934800,-13.48197851,,,,,,,
1416938400,53.37708799,,,,,,,
1416942000,91.41041253,,,,,,,
1416945600,126.3734672,,,,,,,
1416949200,138.8786405,,,,,,,
1416952800,125.6632199,,,,,,,
1416956400,56.37517027,,,,,,,
1416960000,-27.22076862,,,,,,,
1416963600,-100.2907789,,,,,,,
1416967200,-161.83725,,,,,,,
1416970800,-175.3083099,,,,,,,
1416974400,-141.637313,,,,,,,
1416978000,-68.67719076,,,,,,,
1416981600,36.86243874,,,,,,,
1416985200,113.6040861,,,,,,,
1416988800,194.9113202,,,,,,,
1416992400,210.6870888,,,,,,,
1416996000,208.4233294,,,,,,,
1416999600,133.1571197,,,,,,,
1417003200,81.23715548,,,,,,,
1417006800,-15.37069182,,,,,,,
1417010400,-68.59958389,,,,,,,
1417014000,-97.13405671,,,,,,,
1417017600,-110.332941,,,,,,,
1417021200,-78.69911075,,,,,,,
1417024800,4.801881093,,,,,,,
1417028400,58.9589032,,,,,,,
1417032000,104.6252232,,,,,,,
1417035600,127.2704484,,,,,,,
1417039200,55.33722333,,,,,,,
1417042800,18.89982672,,,,,,,
1417046400,-79.05148808,,,,,,,
1417050000,-144.9994541,,,,,,,
1417053600,-199.5595145,,,,,,,
1417057200,-214.8566296,,,,,,,
1417060800,-182.7631632,,,,,,,
1417064400,-113.3804725,,,,,,,
1417071600,67.38649983,,,,,,,
1417075200,132.9303536,,,,,,,
1417078800,181.1213215,,,,,,,
1417082400,140.1829256,,,,,,,
1417086000,105.6042403,,,,,,,
1417089600,34.36501435,,,,,,,
1417093200,-49.75769415,,,,,,,
1417096800,-121.1595337,,,,,,,
1417100400,-159.325149,,,,,,,
1417104000,-153.8833607,,,,,,,
1417107600,-115.5475039,,,,,,,
1417111200,-38.24653013,,,,,,,
1417114800,21.79725384,,,,,,,
1417118400,61.83069285,,,,,,,
1417122000,75.39687353,,,,,,,
1417125600,21.71558966,,,,,,,
1417129200,-35.39283504,,,,,,,
1417132800,-113.0407299,,,,,,,
1417136400,-186.34897,,,,,,,
1417140000,-235.3371929,,,,,,,
1417143600,-260.6633582,,,,,,,
1417147200,-215.5312648,,,,,,,
